t,angle
20.2,-55.6232073065084
20.25,-62.2504655011814
20.3,-64.1904999112276
20.35,-60.7684618905565
20.4,-52.2160712826413
20.45,-40.3084272937501
20.5,-22.8681639001671
20.55,-4.24081702613951
20.6,14.066086948306
20.65,31.8894778685403
20.7,47.3664745198332
20.75,57.9699580493483
20.8,64.1467961389814
20.85,64.4698783769419
20.9,60.4250237673288
20.95,50.4900454782665
21,37.4727838591675
21.05,21.7674729294366
21.1,1.74911641900903
21.15,-17.0722712529247
21.2,-35.1011150590734
21.25,-49.2804991879743
21.3,-58.7357702300175
21.35,-63.9580189737559
21.4,-64.4856320454462
21.45,-58.8097010264628
21.5,-49.608844813198
21.55,-35.1651075792014
21.6,-18.5542202818461
21.65,0.973646855800646
21.7,19.1694866658183
21.75,36.3947552810997
21.8,50.777758061672
21.85,60.4420188634034
21.9,63.4706379737414
21.95,63.7172576636348
22,58.6126161074404
22.05,48.4109538551602
22.1,33.2314363604632
22.15,16.0449214135152
22.2,-4.0654362085322
22.25,-22.3294200821884
22.3,-39.0076978114684
22.35,-52.276895746671
22.4,-61.0047532376716
22.45,-63.5976720993053
22.5,-63.518593142834
22.55,-56.6809453569026
22.6,-44.5104578036384
22.65,-29.9288716674971
22.7,-11.7420067119109
22.75,7.00842597160328
22.8,24.0561703613434
22.85,39.9391029843675
22.9,52.4824115517589
22.95,60.4833636414292
23,63.6576330443213
23.05,61.7704884421711
23.1,55.2108431269412
23.15,44.0597271132993
23.2,27.0277161832407
23.25,9.18696703544436
23.3,-8.87875862342944
23.35,-27.6057299317931
23.4,-43.4320692569652
23.45,-55.1269097440038
23.5,-62.3883088908968
23.55,-63.6458087377811
23.6,-60.8699565261839
23.65,-52.141816428571
23.7,-41.4812860385018
23.75,-24.6384603868376
23.8,-6.7267177776003
23.85,12.3506221276011
23.9,29.7601388050276
23.95,44.9867348187448
24,57.0369096933226
24.05,62.5934598526967
24.1,64.2845151428568
24.15,59.2231826060047
24.2,50.2647561887019
24.25,37.7288096329871
24.3,20.8465670715008
24.35,3.93160690917202
24.4,-15.2174374307442
24.45,-32.6722326709009
24.5,-46.762088144539
24.55,-57.6165449302131
24.6,-61.8612940352278
24.65,-64.0291537494657
24.7,-58.1020018058496
24.75,-49.0493557835252
24.8,-35.4318585393951
24.85,-18.0515253892348
24.9,0.719633061077417
24.95,19.0401983484854
25,36.4998871447471
25.05,48.7852464245394
25.1,58.2334505512354
25.15,62.0910569021141
25.2,62.7881862333098
25.25,56.511504175454
25.3,45.7932420072111
25.35,32.5197531733442
25.4,15.8613482992789
25.45,-2.88350874816387
25.5,-22.2255640523015
25.55,-38.4525771350312
25.6,-51.6906697010715
25.65,-59.4574219754745
25.7,-63.6176543222262
25.75,-61.8092189627288
25.8,-54.7793495194935
25.85,-43.452965622993
25.9,-28.6236621365157
25.95,-11.4731413203593
26,6.52889972260967
26.05,25.6871410866673
26.1,40.5689535373373
26.15,52.4763764922056
26.2,61.1090731654136
26.25,63.5982687334958
26.3,61.2952056520591
26.35,53.1840880580458
26.4,40.3941864702544
26.45,26.5091346483727
26.5,8.77623847708484
26.55,-10.8724872634412
26.6,-28.2406246427711
26.65,-43.3565138698556
26.7,-55.4338195641503
26.75,-60.1861818009042
26.8,-63.4006023226678
26.85,-60.1346029337625
26.9,-51.2697045505995
26.95,-39.4140253797697
27,-22.3458919938532
27.05,-4.91369091487788
27.1,13.9424861668198
27.15,32.0822405843737
27.2,45.7197525427365
27.25,56.0250269995173
27.3,61.8795250186774
27.35,62.6913704901154
27.4,57.1607411961431
27.45,49.591364096751
27.5,35.4045503840861
27.55,18.2957987138385
27.6,0.34432716355867
27.65,-18.8362106868421
27.7,-34.310166724401
27.75,-48.3023609050627
27.8,-57.9464016789368
27.85,-62.9437517538878
27.9,-60.8186312397715
27.95,-56.1100169014892
28,-47.1881485592234
28.05,-32.0235814828067
28.1,-14.9078262840739
28.15,3.83721354578685
28.2,20.6550560304814
28.25,37.7883622362927
28.3,49.6038734289047
28.35,59.4455696192655
28.4,63.1647169365062
28.45,60.1292047461176
